experiment_suite,task,failure,recovery_policy,seeds,clean_success,perturbed_success,recovered_success,recovered_final_distance,mean_triggers,mean_phase_replans,mean_recovered_steps
silent_jaw_stuck,GauzeRetrieve,jaw_stuck_open,internal_phase_replan,5,1.0,0.0,1.0,0.0129807564342188,5.0,2.0,108.6
silent_jaw_stuck,GauzeRetrieve,none,internal_phase_replan,5,1.0,,1.0,0.0128721273569861,1.0,0.0,34.6
silent_jaw_stuck,NeedlePick,jaw_stuck_open,internal_phase_replan,5,1.0,0.0,1.0,0.0196210362365765,3.4,1.2,91.2
silent_jaw_stuck,NeedlePick,none,internal_phase_replan,5,1.0,,1.0,0.019603513161351623,1.0,0.0,40.0
silent_jaw_stuck_observable_proxy,GauzeRetrieve,jaw_stuck_open,observable_phase_replan,5,1.0,0.0,1.0,0.01303700090472928,3.0,2.0,102.0
silent_jaw_stuck_observable_proxy,GauzeRetrieve,none,observable_phase_replan,5,1.0,,1.0,0.0128721273569861,1.0,0.0,34.6
silent_jaw_stuck_observable_proxy,NeedlePick,jaw_stuck_open,observable_phase_replan,5,1.0,0.0,1.0,0.01961113180523752,3.0,1.8,102.4
silent_jaw_stuck_observable_proxy,NeedlePick,none,observable_phase_replan,5,1.0,,1.0,0.019603513161351623,1.0,0.0,40.0
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,jaw_stuck_open,observable_phase_replan,10,1.0,0.0,1.0,0.01415772823412951,3.0,2.0,101.8
silent_jaw_stuck_observable_proxy_10seed,GauzeRetrieve,none,observable_phase_replan,10,1.0,,1.0,0.013439772129727351,1.0,0.0,34.6
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,jaw_stuck_open,observable_phase_replan,10,1.0,0.0,1.0,0.02022077072390433,3.0,1.7,102.6
silent_jaw_stuck_observable_proxy_10seed,NeedlePick,none,observable_phase_replan,10,1.0,,1.0,0.02020489016626879,1.1,0.0,40.8
standard_corruptions,GauzeRetrieve,action_dropout,internal_phase_replan,5,1.0,0.0,1.0,0.01243352362394078,1.0,0.0,35.6
standard_corruptions,GauzeRetrieve,action_noise,internal_phase_replan,5,1.0,0.0,1.0,0.01686278760191926,1.8,0.0,34.6
standard_corruptions,GauzeRetrieve,execution_slip,internal_phase_replan,5,1.0,0.0,1.0,0.012899619462035722,1.0,0.0,35.8
standard_corruptions,GauzeRetrieve,none,internal_phase_replan,5,1.0,,1.0,0.0128721273569861,1.0,0.0,34.6
standard_corruptions,NeedlePick,action_dropout,internal_phase_replan,5,1.0,0.0,1.0,0.02157441498997646,2.8,0.8,74.2
standard_corruptions,NeedlePick,action_noise,internal_phase_replan,5,1.0,0.0,1.0,0.020086182981693602,2.0,0.0,40.0
standard_corruptions,NeedlePick,execution_slip,internal_phase_replan,5,1.0,0.0,1.0,0.0202058780453748,2.4,0.4,58.0
standard_corruptions,NeedlePick,none,internal_phase_replan,5,1.0,,1.0,0.019603513161351623,1.0,0.0,40.0
standard_corruptions_10seed,GauzeRetrieve,action_dropout,internal_phase_replan,10,1.0,0.0,1.0,0.01315948041877818,1.0,0.0,35.5
standard_corruptions_10seed,GauzeRetrieve,action_noise,internal_phase_replan,10,1.0,0.0,1.0,0.01594458012255065,1.8,0.0,34.7
standard_corruptions_10seed,GauzeRetrieve,execution_slip,internal_phase_replan,10,1.0,0.0,1.0,0.012661407376043241,1.4,0.2,43.9
standard_corruptions_10seed,GauzeRetrieve,none,internal_phase_replan,10,1.0,,1.0,0.01335841094499455,0.0,0.0,34.6
standard_corruptions_10seed,NeedlePick,action_dropout,internal_phase_replan,10,1.0,0.0,1.0,0.02075338151545961,3.0,1.0,84.4
standard_corruptions_10seed,NeedlePick,action_noise,internal_phase_replan,10,1.0,0.0,0.9,0.04257267829331372,16.8,14.7,62.4
standard_corruptions_10seed,NeedlePick,execution_slip,internal_phase_replan,10,1.0,0.0,1.0,0.02122865324765457,3.5,1.2,94.1
standard_corruptions_10seed,NeedlePick,none,internal_phase_replan,10,1.0,,1.0,0.02020459301701594,0.0,0.0,40.8
third_task_reach_freeze,NeedleReach,action_freeze,oracle_override,5,1.0,0.0,1.0,0.01568476407852308,2.0,0.0,21.2
third_task_reach_freeze,NeedleReach,none,oracle_override,5,1.0,,1.0,0.0156847437915064,0.0,0.0,19.2
visual_state_drift_5seed,GauzeRetrieve,depth_scale_error,risk_triage_oracle_override,5,1.0,0.0,0.0,0.2645450167650504,0.0,0.0,180.0
visual_state_drift_5seed,GauzeRetrieve,near_target_drift,risk_triage_oracle_override,5,1.0,0.0,1.0,0.011356316250404019,1.0,0.0,34.6
visual_state_drift_5seed,GauzeRetrieve,none,risk_triage_oracle_override,5,1.0,,1.0,0.01251812428274934,0.0,0.0,34.6
visual_state_drift_5seed,GauzeRetrieve,perception_bias,risk_triage_oracle_override,5,1.0,0.0,0.0,0.26451362332775097,0.0,0.0,180.0
visual_state_drift_5seed,NeedlePick,depth_scale_error,risk_triage_oracle_override,5,1.0,0.0,0.0,0.2332736165998651,1.6,0.0,180.0
visual_state_drift_5seed,NeedlePick,near_target_drift,risk_triage_oracle_override,5,1.0,0.2,1.0,0.01880614528618026,1.0,0.0,39.8
visual_state_drift_5seed,NeedlePick,none,risk_triage_oracle_override,5,1.0,,1.0,0.019603309080838897,0.0,0.0,40.0
visual_state_drift_5seed,NeedlePick,perception_bias,risk_triage_oracle_override,5,1.0,0.0,0.0,0.2263655642224026,1.6,0.0,180.0
visual_state_reestimate_10seed,GauzeRetrieve,depth_scale_error,review_reestimate,10,1.0,0.0,1.0,0.01335841094499455,1.0,0.0,34.6
visual_state_reestimate_10seed,GauzeRetrieve,none,review_reestimate,10,1.0,,1.0,0.01335841094499455,0.0,0.0,34.6
visual_state_reestimate_10seed,GauzeRetrieve,perception_bias,review_reestimate,10,1.0,0.0,1.0,0.01335841094499455,1.0,0.0,34.6
visual_state_reestimate_10seed,NeedlePick,depth_scale_error,review_reestimate,10,1.0,0.0,1.0,0.02020459301701594,1.0,0.0,40.8
visual_state_reestimate_10seed,NeedlePick,none,review_reestimate,10,1.0,,1.0,0.02020459301701594,0.0,0.0,40.8
visual_state_reestimate_10seed,NeedlePick,perception_bias,review_reestimate,10,1.0,0.0,1.0,0.02020459301701594,1.0,0.0,40.8
visual_state_reestimate_5seed,GauzeRetrieve,depth_scale_error,review_reestimate,5,1.0,0.0,1.0,0.01251812428274934,1.0,0.0,34.6
visual_state_reestimate_5seed,GauzeRetrieve,none,review_reestimate,5,1.0,,1.0,0.01251812428274934,0.0,0.0,34.6
visual_state_reestimate_5seed,GauzeRetrieve,perception_bias,review_reestimate,5,1.0,0.0,1.0,0.01251812428274934,1.0,0.0,34.6
visual_state_reestimate_5seed,NeedlePick,depth_scale_error,review_reestimate,5,1.0,0.0,1.0,0.019603309080838897,1.0,0.0,40.0
visual_state_reestimate_5seed,NeedlePick,none,review_reestimate,5,1.0,,1.0,0.019603309080838897,0.0,0.0,40.0
visual_state_reestimate_5seed,NeedlePick,perception_bias,review_reestimate,5,1.0,0.0,1.0,0.019603309080838897,1.0,0.0,40.0
